aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,created_at
5043.49658203125,5043.49658203125,0.0,86291.6328125,5043.41015625,0.10260844230651855,5000.0,0.0,1.6241414546966553,0.0,0.0,-1.5802260637283325,-1.6086443662643433,2,2023-05-11 10:26:03.022894
4296.03076171875,4296.03076171875,0.0,96416.0390625,4295.9345703125,0.08740101754665375,5000.0,0.0,1.6121389865875244,0.0,0.0,-1.5930752754211426,-1.6017905473709106,2,2023-05-11 10:27:17.007025
3560.29638671875,3560.29638671875,0.0,82175.3125,3560.214111328125,0.072432741522789,5000.0,0.0,1.623894214630127,0.0,0.0,-1.598882794380188,-1.621277928352356,2,2023-05-11 10:28:30.430796
4097.57373046875,4097.57373046875,0.0,101329.9453125,4097.47216796875,0.08336328715085983,5000.0,0.0,1.6644939184188843,0.0,0.0,-1.6213877201080322,-1.6521332263946533,2,2023-05-11 10:29:43.797325
4035.512939453125,4035.512939453125,0.0,92472.0625,4035.42041015625,0.08210083842277527,5000.0,0.0,1.6164425611495972,0.0,0.0,-1.5879918336868286,-1.626522421836853,2,2023-05-11 10:30:57.156603
3120.838623046875,3120.838623046875,0.0,101837.90625,3120.73681640625,0.06349155306816101,5000.0,0.0,1.6404520273208618,0.0,0.0,-1.621700644493103,-1.6467366218566895,2,2023-05-11 10:32:10.514651
3163.66943359375,3163.66943359375,0.0,104115.6015625,3163.5654296875,0.06436290591955185,5000.0,0.0,1.5991859436035156,0.0,0.0,-1.5703659057617188,-1.594574213027954,2,2023-05-11 10:33:23.872526
2928.227294921875,2928.227294921875,0.0,100604.3046875,2928.126708984375,0.059572890400886536,5000.0,0.0,1.6188580989837646,0.0,0.0,-1.5896198749542236,-1.6183483600616455,2,2023-05-11 10:34:37.234097
2481.924072265625,2481.924072265625,0.0,101754.078125,2481.822265625,0.05049280449748039,5000.0,0.0,1.6391626596450806,0.0,0.0,-1.6098374128341675,-1.6515823602676392,2,2023-05-11 10:35:50.592266
2785.847412109375,2785.847412109375,0.0,105788.328125,2785.74169921875,0.05667605996131897,5000.0,0.0,1.6578726768493652,0.0,0.0,-1.609434962272644,-1.6535545587539673,2,2023-05-11 10:37:03.999218
2371.222412109375,2371.222412109375,0.0,106403.1796875,2371.115966796875,0.048240479081869125,5000.0,0.0,1.6171091794967651,0.0,0.0,-1.5793843269348145,-1.6061922311782837,2,2023-05-11 10:38:17.359009
2742.37353515625,2742.37353515625,0.0,97212.6875,2742.2763671875,0.05579175800085068,5000.0,0.0,1.6018387079238892,0.0,0.0,-1.5973522663116455,-1.601484775543213,2,2023-05-11 10:39:30.725146
2742.181640625,2742.181640625,0.0,104094.0,2742.07763671875,0.05578771233558655,5000.0,0.0,1.6233744621276855,0.0,0.0,-1.5976122617721558,-1.629357099533081,2,2023-05-11 10:40:44.093632
2693.77978515625,2693.77978515625,0.0,110814.625,2693.6689453125,0.05480283498764038,5000.0,0.0,1.6304588317871094,0.0,0.0,-1.6058390140533447,-1.6322789192199707,2,2023-05-11 10:41:57.473487
2950.688232421875,2950.688232421875,0.0,105743.859375,2950.58251953125,0.060029756277799606,5000.0,0.0,1.5825927257537842,0.0,0.0,-1.555656909942627,-1.582148790359497,2,2023-05-11 10:43:10.855113
2928.867919921875,2928.867919921875,0.0,107066.7265625,2928.7607421875,0.05958579108119011,5000.0,0.0,1.684425950050354,0.0,0.0,-1.6350059509277344,-1.6723685264587402,2,2023-05-11 10:44:24.250995
2768.652587890625,2768.652587890625,0.0,104238.4375,2768.54833984375,0.05632626265287399,5000.0,0.0,1.5965205430984497,0.0,0.0,-1.5626373291015625,-1.5965570211410522,2,2023-05-11 10:45:37.626149
2247.169921875,2247.169921875,0.0,110523.796875,2247.059326171875,0.0457165390253067,5000.0,0.0,1.6232651472091675,0.0,0.0,-1.596123218536377,-1.6276288032531738,2,2023-05-11 10:46:51.007671
2408.468017578125,2408.468017578125,0.0,112303.03125,2408.355712890625,0.04899812489748001,5000.0,0.0,1.5997039079666138,0.0,0.0,-1.5600464344024658,-1.591381311416626,2,2023-05-11 10:48:04.379222
2370.8876953125,2370.8876953125,0.0,107931.8671875,2370.77978515625,0.04823363944888115,5000.0,0.0,1.5806825160980225,0.0,0.0,-1.5479209423065186,-1.5847193002700806,2,2023-05-11 10:49:17.765421
3141.013671875,3141.013671875,0.0,116760.984375,3140.89697265625,0.06390171498060226,5000.0,0.0,1.5872553586959839,0.0,0.0,-1.5681864023208618,-1.5759342908859253,2,2023-05-11 10:50:31.173753
2333.39990234375,2333.39990234375,0.0,100939.984375,2333.299072265625,0.04747109115123749,5000.0,0.0,1.616401195526123,0.0,0.0,-1.6005051136016846,-1.6330788135528564,2,2023-05-11 10:51:45.059512
2438.529052734375,2438.529052734375,0.0,126398.15625,2438.402587890625,0.04960943013429642,5000.0,0.0,1.6205344200134277,0.0,0.0,-1.6084829568862915,-1.6132853031158447,2,2023-05-11 10:52:58.418405
2629.76171875,2629.76171875,0.0,104034.59375,2629.65771484375,0.053500525653362274,5000.0,0.0,1.6468117237091064,0.0,0.0,-1.5944753885269165,-1.6500248908996582,2,2023-05-11 10:54:11.792709
3052.142822265625,3052.142822265625,0.0,114963.953125,3052.02783203125,0.062093667685985565,5000.0,0.0,1.5916928052902222,0.0,0.0,-1.5857480764389038,-1.5950576066970825,2,2023-05-11 10:55:25.167301
